,narrative
7564,briefing factum re: disqualifying expert
7565,researching memo re: summary judgment
7566,revising memo re: motion to strike
7567,writing compendium re: refusals
7568,researching factum re: enforcing foreign judgment
7569,proofing motion record re: injunction
7570,reviewing motion record re: motion to strike
7571,briefing analysis re: enforcing foreign judgment
7572,revising order re: motion to strike
7573,briefing notice of motion re: refusals
7574,preparing memorandum re: refusals
7575,briefing memo re: summary judgment
7576,analyzing order re: motion to strike
7577,reviewing affidavit re: injunction
7578,researching memo re: summary judgment
7579,editing analysis re: summary judgment
7580,proofing notice of motion re: disqualifying expert
7581,analyzing notice of motion re: injunction
7582,reviewing factum re: disqualifying expert
7583,revising memo re: injunction
7584,reviewing book of authority re: enforcing foreign judgment
7585,preparing book of authority re: enforcing foreign judgment
7586,analyzing motion record re: refusals
7587,drafting compendium re: enforcing foreign judgment
7588,analyzing book of authority re: motion to strike
7589,researching motion record re: refusals
7590,writing notice of motion re: enforcing foreign judgment
7591,revising affidavit re: summary judgment
7592,researching motion record re: disqualifying expert
7593,proofing memo re: summary judgment
7594,drafting compendium re: injunction
7595,drafting factum re: enforcing foreign judgment
7596,researching analysis re: motion to strike
7597,researching notice of motion re: summary judgment
7598,preparing compendium re: refusals
7599,proofing affidavit re: summary judgment
7600,revising analysis re: motion to strike
7601,proofing analysis re: injunction
7602,researching motion record re: summary judgment
7603,drafting affidavit re: disqualifying expert
7604,proofing order re: refusals
7605,researching memo re: enforcing foreign judgment
7606,drafting factum re: refusals
7607,preparing order re: summary judgment
7608,analyzing memo re: injunction
7609,writing affidavit re: motion to strike
7610,editing memo re: disqualifying expert
7611,preparing book of authority re: summary judgment
7612,researching book of authority re: motion to strike
7613,revising order re: disqualifying expert
7614,briefing memorandum re: summary judgment
7615,proofing affidavit re: summary judgment
7616,preparing analysis re: injunction
7617,researching order re: disqualifying expert
7618,proofing book of authority re: motion to strike
7619,reviewing memo re: injunction
7620,revising factum re: summary judgment
7621,preparing affidavit re: motion to strike
7622,writing analysis re: disqualifying expert
7623,writing factum re: enforcing foreign judgment
7624,analyzing memo re: enforcing foreign judgment
7625,preparing memorandum re: refusals
7626,proofing affidavit re: disqualifying expert
7627,revising order re: motion to strike
7628,reviewing factum re: summary judgment
7629,proofing compendium re: injunction
7630,proofing book of authority re: enforcing foreign judgment
7631,reviewing factum re: injunction
7632,writing memo re: motion to strike
7633,revising memo re: disqualifying expert
7634,writing notice of motion re: disqualifying expert
7635,preparing motion record re: injunction
7636,reviewing order re: enforcing foreign judgment
7637,proofing order re: enforcing foreign judgment
7638,revising factum re: enforcing foreign judgment
7639,reviewing analysis re: summary judgment
7640,proofing order re: motion to strike
7641,proofing order re: injunction
7642,writing book of authority re: refusals
7643,revising book of authority re: injunction
7644,preparing book of authority re: injunction
7645,briefing analysis re: summary judgment
7646,analyzing memorandum re: disqualifying expert
7647,editing memo re: summary judgment
7648,revising memorandum re: injunction
7649,revising compendium re: summary judgment
7650,analyzing factum re: refusals
7651,briefing factum re: summary judgment
7652,preparing memorandum re: disqualifying expert
7653,preparing affidavit re: injunction
7654,preparing motion record re: motion to strike
7655,drafting book of authority re: motion to strike
7656,analyzing notice of motion re: summary judgment
7657,briefing factum re: motion to strike
7658,preparing notice of motion re: refusals
7659,drafting notice of motion re: injunction
7660,analyzing motion record re: refusals
7661,reviewing book of authority re: enforcing foreign judgment
7662,reviewing order re: motion to strike
7663,briefing motion record re: disqualifying expert
7664,writing memo re: summary judgment
7665,editing book of authority re: injunction
7666,proofing factum re: disqualifying expert
7667,briefing book of authority re: summary judgment
7668,proofing factum re: refusals
7669,editing book of authority re: injunction
7670,analyzing memorandum re: summary judgment
7671,preparing memo re: disqualifying expert
7672,drafting memo re: summary judgment
7673,briefing analysis re: refusals
7674,proofing order re: refusals
7675,analyzing memorandum re: summary judgment
7676,revising memorandum re: disqualifying expert
7677,analyzing book of authority re: disqualifying expert
7678,editing order re: injunction
7679,drafting notice of motion re: enforcing foreign judgment
7680,revising order re: motion to strike
7681,revising order re: injunction
7682,revising motion record re: injunction
7683,briefing book of authority re: disqualifying expert
7684,researching affidavit re: disqualifying expert
7685,analyzing order re: injunction
7686,editing book of authority re: summary judgment
7687,analyzing affidavit re: disqualifying expert
7688,briefing book of authority re: disqualifying expert
7689,writing memorandum re: motion to strike
7690,reviewing memo re: disqualifying expert
7691,preparing notice of motion re: summary judgment
7692,editing memorandum re: injunction
7693,preparing notice of motion re: enforcing foreign judgment
7694,researching factum re: disqualifying expert
7695,briefing compendium re: refusals
7696,drafting memo re: motion to strike
7697,editing factum re: enforcing foreign judgment
7698,writing analysis re: summary judgment
7699,drafting motion record re: injunction
7700,analyzing affidavit re: injunction
7701,researching memorandum re: injunction
7702,revising analysis re: motion to strike
7703,analyzing memorandum re: refusals
7704,proofing affidavit re: motion to strike
7705,analyzing memorandum re: enforcing foreign judgment
7706,proofing memo re: enforcing foreign judgment
7707,reviewing motion record re: motion to strike
7708,briefing affidavit re: injunction
7709,researching compendium re: disqualifying expert
7710,drafting memo re: refusals
7711,researching book of authority re: injunction
7712,preparing memorandum re: summary judgment
7713,writing analysis re: enforcing foreign judgment
7714,researching memo re: enforcing foreign judgment
7715,analyzing book of authority re: disqualifying expert
7716,drafting affidavit re: enforcing foreign judgment
7717,researching order re: injunction
7718,proofing analysis re: motion to strike
7719,drafting compendium re: enforcing foreign judgment
7720,reviewing order re: motion to strike
7721,briefing book of authority re: motion to strike
7722,briefing compendium re: refusals
7723,briefing memo re: enforcing foreign judgment
7724,briefing memorandum re: disqualifying expert
7725,revising affidavit re: disqualifying expert
7726,proofing order re: disqualifying expert
7727,revising affidavit re: motion to strike
7728,preparing book of authority re: refusals
7729,proofing memo re: summary judgment
7730,drafting memorandum re: enforcing foreign judgment
7731,preparing order re: disqualifying expert
7732,drafting book of authority re: summary judgment
7733,editing memorandum re: summary judgment
7734,revising notice of motion re: refusals
7735,analyzing memorandum re: injunction
7736,revising analysis re: enforcing foreign judgment
7737,writing notice of motion re: summary judgment
7738,proofing memorandum re: summary judgment
7739,researching analysis re: enforcing foreign judgment
7740,briefing memo re: disqualifying expert
7741,editing compendium re: enforcing foreign judgment
7742,analyzing compendium re: disqualifying expert
7743,writing memorandum re: enforcing foreign judgment
7744,writing motion record re: enforcing foreign judgment
7745,preparing notice of motion re: motion to strike
7746,drafting motion record re: injunction
7747,writing book of authority re: summary judgment
7748,drafting memorandum re: enforcing foreign judgment
7749,writing order re: summary judgment
7750,reviewing book of authority re: injunction
7751,researching motion record re: refusals
7752,revising compendium re: injunction
7753,reviewing factum re: summary judgment
7754,analyzing analysis re: injunction
7755,briefing book of authority re: summary judgment
7756,briefing analysis re: summary judgment
7757,researching memorandum re: injunction
7758,revising compendium re: refusals
7759,researching memo re: disqualifying expert
7760,revising memorandum re: summary judgment
7761,editing factum re: summary judgment
7762,drafting memo re: disqualifying expert
7763,researching book of authority re: enforcing foreign judgment
7764,writing factum re: disqualifying expert
7765,analyzing motion record re: refusals
7766,briefing compendium re: summary judgment
7767,editing compendium re: injunction
7768,briefing motion record re: motion to strike
7769,drafting factum re: disqualifying expert
7770,revising order re: motion to strike
7771,briefing memorandum re: refusals
7772,editing memo re: enforcing foreign judgment
7773,briefing motion record re: motion to strike
7774,briefing book of authority re: disqualifying expert
7775,writing affidavit re: disqualifying expert
7776,writing book of authority re: disqualifying expert
7777,proofing memorandum re: injunction
7778,writing memorandum re: injunction
7779,briefing memorandum re: disqualifying expert
7780,reviewing memorandum re: injunction
7781,analyzing analysis re: injunction
7782,reviewing motion record re: refusals
7783,proofing analysis re: injunction
7784,revising book of authority re: summary judgment
7785,preparing book of authority re: motion to strike
7786,revising memo re: summary judgment
7787,writing factum re: disqualifying expert
7788,revising factum re: refusals
7789,writing memorandum re: disqualifying expert
7790,reviewing memo re: injunction
7791,drafting memorandum re: refusals
7792,writing memorandum re: refusals
7793,drafting factum re: disqualifying expert
7794,preparing factum re: disqualifying expert
7795,reviewing compendium re: injunction
7796,reviewing book of authority re: summary judgment
7797,researching memo re: summary judgment
7798,briefing factum re: refusals
7799,researching factum re: summary judgment
7800,analyzing motion record re: refusals
7801,analyzing notice of motion re: enforcing foreign judgment
7802,preparing memorandum re: motion to strike
7803,writing memorandum re: disqualifying expert
7804,reviewing compendium re: refusals
7805,preparing memo re: refusals
7806,analyzing factum re: disqualifying expert
7807,researching motion record re: summary judgment
7808,drafting compendium re: enforcing foreign judgment
7809,researching affidavit re: enforcing foreign judgment
7810,revising analysis re: injunction
7811,briefing compendium re: injunction
7812,briefing memo re: summary judgment
7813,editing analysis re: summary judgment
7814,editing notice of motion re: summary judgment
7815,revising analysis re: motion to strike
7816,analyzing memo re: enforcing foreign judgment
7817,researching memorandum re: refusals
7818,reviewing book of authority re: refusals
7819,analyzing affidavit re: refusals
7820,drafting motion record re: summary judgment
7821,editing memorandum re: summary judgment
7822,briefing analysis re: enforcing foreign judgment
7823,writing motion record re: refusals
7824,editing order re: motion to strike
7825,briefing notice of motion re: refusals
7826,editing factum re: refusals
7827,researching order re: summary judgment
7828,reviewing order re: disqualifying expert
7829,researching affidavit re: motion to strike
7830,researching compendium re: summary judgment
7831,drafting memorandum re: injunction
7832,analyzing notice of motion re: summary judgment
7833,drafting memorandum re: disqualifying expert
7834,preparing order re: injunction
7835,revising factum re: injunction
7836,editing notice of motion re: summary judgment
7837,proofing memo re: refusals
7838,proofing memo re: disqualifying expert
7839,drafting memorandum re: motion to strike
7840,analyzing memorandum re: injunction
7841,researching book of authority re: injunction
7842,revising book of authority re: enforcing foreign judgment
7843,briefing memorandum re: enforcing foreign judgment
7844,preparing analysis re: enforcing foreign judgment
7845,reviewing order re: motion to strike
7846,drafting book of authority re: motion to strike
7847,proofing analysis re: summary judgment
7848,reviewing memorandum re: summary judgment
7849,writing memorandum re: motion to strike
7850,writing memorandum re: summary judgment
7851,analyzing book of authority re: disqualifying expert
7852,preparing analysis re: enforcing foreign judgment
7853,revising memorandum re: injunction
7854,analyzing analysis re: disqualifying expert
7855,editing compendium re: refusals
7856,researching analysis re: motion to strike
7857,revising memo re: refusals
7858,researching compendium re: summary judgment
7859,revising affidavit re: refusals
7860,researching compendium re: enforcing foreign judgment
7861,reviewing analysis re: injunction
7862,analyzing factum re: enforcing foreign judgment
7863,writing affidavit re: enforcing foreign judgment
7864,researching analysis re: motion to strike
7865,proofing motion record re: disqualifying expert
7866,reviewing memo re: summary judgment
7867,preparing book of authority re: enforcing foreign judgment
7868,preparing order re: summary judgment
7869,drafting memo re: motion to strike
7870,reviewing analysis re: injunction
7871,researching affidavit re: injunction
7872,analyzing analysis re: motion to strike
7873,analyzing book of authority re: motion to strike
7874,drafting memorandum re: enforcing foreign judgment
7875,editing factum re: enforcing foreign judgment
7876,editing memo re: refusals
7877,preparing affidavit re: refusals
7878,proofing factum re: motion to strike
7879,preparing analysis re: summary judgment
7880,revising book of authority re: summary judgment
7881,drafting motion record re: refusals
7882,briefing memorandum re: motion to strike
7883,proofing memorandum re: disqualifying expert
7884,drafting notice of motion re: refusals
7885,researching compendium re: refusals
7886,editing affidavit re: summary judgment
7887,writing notice of motion re: injunction
7888,proofing affidavit re: disqualifying expert
7889,reviewing memorandum re: enforcing foreign judgment
7890,preparing order re: injunction
7891,researching notice of motion re: enforcing foreign judgment
7892,proofing analysis re: summary judgment
7893,preparing memo re: summary judgment
7894,briefing memorandum re: summary judgment
7895,writing affidavit re: disqualifying expert
7896,proofing motion record re: injunction
7897,drafting compendium re: enforcing foreign judgment
7898,proofing book of authority re: enforcing foreign judgment
7899,proofing analysis re: enforcing foreign judgment
7900,analyzing compendium re: summary judgment
7901,proofing compendium re: injunction
7902,reviewing memo re: summary judgment
7903,analyzing motion record re: refusals
7904,briefing order re: refusals
7905,editing analysis re: refusals
7906,reviewing factum re: refusals
7907,reviewing affidavit re: motion to strike
7908,editing analysis re: motion to strike
7909,preparing memo re: injunction
7910,reviewing compendium re: summary judgment
7911,writing memorandum re: enforcing foreign judgment
7912,analyzing memorandum re: motion to strike
7913,analyzing memo re: motion to strike
7914,drafting compendium re: enforcing foreign judgment
7915,editing analysis re: refusals
7916,writing motion record re: summary judgment
7917,proofing factum re: refusals
7918,revising memo re: injunction
7919,proofing memo re: disqualifying expert
7920,preparing memorandum re: disqualifying expert
7921,preparing analysis re: enforcing foreign judgment
7922,reviewing motion record re: motion to strike
7923,writing analysis re: injunction
7924,preparing order re: motion to strike
7925,briefing order re: motion to strike
7926,proofing memo re: enforcing foreign judgment
7927,revising order re: refusals
7928,drafting memorandum re: injunction
7929,reviewing book of authority re: injunction
7930,editing motion record re: disqualifying expert
7931,briefing memo re: summary judgment
7932,reviewing analysis re: injunction
7933,editing memo re: motion to strike
7934,researching memorandum re: enforcing foreign judgment
7935,writing memo re: enforcing foreign judgment
7936,drafting affidavit re: disqualifying expert
7937,analyzing motion record re: disqualifying expert
7938,writing book of authority re: disqualifying expert
7939,preparing memo re: refusals
7940,preparing order re: enforcing foreign judgment
7941,writing analysis re: motion to strike
7942,editing order re: disqualifying expert
7943,revising factum re: refusals
7944,editing memo re: refusals
7945,writing book of authority re: disqualifying expert
7946,researching affidavit re: enforcing foreign judgment
7947,proofing book of authority re: injunction
7948,analyzing notice of motion re: disqualifying expert
7949,revising compendium re: enforcing foreign judgment
7950,revising compendium re: summary judgment
7951,editing memo re: injunction
7952,analyzing memorandum re: motion to strike
7953,editing notice of motion re: injunction
7954,preparing factum re: summary judgment
7955,researching memo re: enforcing foreign judgment
7956,researching motion record re: injunction
7957,briefing order re: injunction
7958,drafting memorandum re: refusals
7959,briefing notice of motion re: summary judgment
7960,revising analysis re: disqualifying expert
7961,analyzing affidavit re: motion to strike
7962,drafting book of authority re: disqualifying expert
7963,preparing affidavit re: refusals
7964,proofing compendium re: motion to strike
7965,preparing memo re: summary judgment
7966,drafting notice of motion re: injunction
7967,researching notice of motion re: disqualifying expert
7968,drafting memorandum re: disqualifying expert
7969,editing order re: motion to strike
7970,writing book of authority re: motion to strike
7971,researching memo re: injunction
7972,writing order re: enforcing foreign judgment
7973,preparing factum re: refusals
7974,reviewing memo re: injunction
7975,proofing memorandum re: enforcing foreign judgment
7976,writing analysis re: enforcing foreign judgment
7977,briefing book of authority re: motion to strike
7978,editing memorandum re: motion to strike
7979,writing memo re: summary judgment
7980,drafting analysis re: summary judgment
7981,researching affidavit re: refusals
7982,preparing notice of motion re: enforcing foreign judgment
7983,analyzing affidavit re: enforcing foreign judgment
7984,writing affidavit re: motion to strike
7985,reviewing motion record re: injunction
7986,drafting analysis re: disqualifying expert
7987,preparing compendium re: motion to strike
7988,drafting book of authority re: disqualifying expert
7989,editing memorandum re: injunction
7990,briefing order re: motion to strike
7991,briefing affidavit re: motion to strike
7992,reviewing memorandum re: disqualifying expert
7993,preparing order re: refusals
7994,reviewing order re: injunction
7995,reviewing memorandum re: refusals
7996,drafting notice of motion re: summary judgment
7997,reviewing memo re: injunction
7998,reviewing notice of motion re: summary judgment
7999,writing memorandum re: injunction
8000,briefing factum re: refusals
8001,editing compendium re: disqualifying expert
8002,proofing memorandum re: summary judgment
8003,writing compendium re: refusals
8004,revising memorandum re: enforcing foreign judgment
8005,reviewing notice of motion re: summary judgment
8006,editing memorandum re: injunction
8007,revising compendium re: motion to strike
8008,proofing book of authority re: motion to strike
8009,reviewing order re: disqualifying expert
8010,writing order re: summary judgment
8011,writing order re: summary judgment
8012,briefing book of authority re: disqualifying expert
8013,preparing motion record re: refusals
8014,analyzing motion record re: enforcing foreign judgment
8015,researching motion record re: injunction
8016,reviewing motion record re: refusals
8017,proofing memorandum re: motion to strike
8018,revising order re: summary judgment
8019,proofing analysis re: summary judgment
8020,writing memo re: motion to strike
8021,reviewing analysis re: enforcing foreign judgment
8022,writing factum re: motion to strike
8023,revising memo re: disqualifying expert
8024,briefing affidavit re: disqualifying expert
8025,analyzing compendium re: injunction
8026,researching notice of motion re: motion to strike
8027,researching memorandum re: summary judgment
8028,briefing memo re: injunction
8029,reviewing memo re: summary judgment
8030,writing memorandum re: summary judgment
8031,writing book of authority re: motion to strike
8032,revising compendium re: injunction
8033,researching order re: disqualifying expert
8034,reviewing book of authority re: enforcing foreign judgment
8035,proofing motion record re: summary judgment
8036,writing memorandum re: summary judgment
8037,briefing notice of motion re: refusals
8038,drafting compendium re: refusals
8039,revising order re: enforcing foreign judgment
8040,analyzing order re: refusals
8041,briefing memorandum re: disqualifying expert
8042,drafting factum re: motion to strike
8043,revising notice of motion re: refusals
8044,editing motion record re: summary judgment
8045,drafting analysis re: disqualifying expert
8046,briefing memo re: refusals
8047,analyzing memo re: motion to strike
8048,writing factum re: summary judgment
8049,reviewing affidavit re: injunction
8050,researching order re: enforcing foreign judgment
8051,revising order re: injunction
8052,drafting analysis re: injunction
8053,reviewing analysis re: summary judgment
8054,reviewing book of authority re: enforcing foreign judgment
8055,preparing motion record re: injunction
8056,reviewing affidavit re: enforcing foreign judgment
8057,briefing compendium re: enforcing foreign judgment
8058,revising order re: refusals
8059,writing analysis re: refusals
8060,researching affidavit re: enforcing foreign judgment
8061,briefing motion record re: enforcing foreign judgment
8062,briefing notice of motion re: refusals
8063,writing memorandum re: enforcing foreign judgment
8064,editing book of authority re: refusals
8065,preparing affidavit re: refusals
8066,briefing affidavit re: motion to strike
8067,revising analysis re: enforcing foreign judgment
8068,writing analysis re: summary judgment
8069,briefing memorandum re: injunction
8070,researching compendium re: summary judgment
8071,analyzing memorandum re: injunction
8072,editing factum re: refusals
8073,briefing book of authority re: injunction
8074,preparing memorandum re: motion to strike
8075,proofing order re: refusals
8076,editing affidavit re: disqualifying expert
8077,revising memorandum re: enforcing foreign judgment
8078,briefing notice of motion re: disqualifying expert
8079,briefing memorandum re: injunction
8080,drafting compendium re: enforcing foreign judgment
8081,revising book of authority re: enforcing foreign judgment
8082,analyzing compendium re: injunction
8083,editing book of authority re: disqualifying expert
8084,briefing affidavit re: injunction
8085,revising compendium re: disqualifying expert
8086,analyzing order re: motion to strike
8087,preparing factum re: injunction
8088,analyzing order re: disqualifying expert
8089,revising order re: enforcing foreign judgment
8090,preparing analysis re: refusals
8091,analyzing order re: enforcing foreign judgment
8092,preparing analysis re: enforcing foreign judgment
8093,researching compendium re: enforcing foreign judgment
8094,analyzing notice of motion re: refusals
8095,researching analysis re: injunction
8096,analyzing memorandum re: refusals
8097,writing memorandum re: injunction
8098,editing compendium re: refusals
8099,researching notice of motion re: enforcing foreign judgment
8100,researching notice of motion re: motion to strike
8101,preparing notice of motion re: enforcing foreign judgment
8102,researching book of authority re: summary judgment
8103,analyzing affidavit re: refusals
8104,briefing order re: refusals
8105,drafting analysis re: refusals
8106,researching memorandum re: summary judgment
8107,proofing factum re: motion to strike
8108,researching book of authority re: refusals
8109,revising factum re: summary judgment
8110,preparing analysis re: motion to strike
8111,editing factum re: injunction
8112,drafting memo re: motion to strike
8113,writing notice of motion re: enforcing foreign judgment
8114,briefing book of authority re: injunction
8115,revising book of authority re: enforcing foreign judgment
8116,reviewing notice of motion re: injunction
8117,revising order re: refusals
8118,editing analysis re: refusals
8119,preparing notice of motion re: disqualifying expert
8120,writing analysis re: enforcing foreign judgment
8121,researching order re: motion to strike
8122,briefing motion record re: motion to strike
8123,writing analysis re: disqualifying expert
8124,drafting order re: enforcing foreign judgment
8125,editing analysis re: summary judgment
8126,reviewing memorandum re: enforcing foreign judgment
8127,briefing affidavit re: injunction
8128,analyzing book of authority re: summary judgment
8129,researching order re: refusals
8130,analyzing memorandum re: summary judgment
8131,reviewing affidavit re: injunction
8132,researching affidavit re: disqualifying expert
8133,reviewing compendium re: enforcing foreign judgment
8134,preparing memo re: enforcing foreign judgment
8135,writing book of authority re: motion to strike
8136,researching compendium re: injunction
8137,drafting compendium re: enforcing foreign judgment
8138,preparing analysis re: refusals
8139,preparing book of authority re: enforcing foreign judgment
8140,analyzing factum re: summary judgment
8141,writing affidavit re: motion to strike
8142,reviewing book of authority re: motion to strike
8143,researching analysis re: refusals
8144,editing compendium re: refusals
8145,preparing order re: enforcing foreign judgment
8146,analyzing book of authority re: injunction
8147,drafting motion record re: refusals
8148,editing order re: disqualifying expert
8149,writing memo re: refusals
8150,reviewing memorandum re: enforcing foreign judgment
8151,editing memo re: injunction
8152,drafting order re: disqualifying expert
8153,researching motion record re: motion to strike
8154,preparing notice of motion re: injunction
8155,proofing analysis re: disqualifying expert
8156,drafting analysis re: injunction
8157,writing compendium re: disqualifying expert
8158,researching analysis re: summary judgment
8159,analyzing notice of motion re: enforcing foreign judgment
8160,briefing book of authority re: refusals
8161,researching affidavit re: disqualifying expert
8162,editing motion record re: injunction
8163,reviewing memorandum re: enforcing foreign judgment
8164,researching order re: enforcing foreign judgment
8165,writing order re: disqualifying expert
8166,analyzing compendium re: motion to strike
8167,analyzing notice of motion re: summary judgment
8168,writing factum re: enforcing foreign judgment
8169,researching motion record re: summary judgment
8170,briefing memorandum re: motion to strike
8171,preparing compendium re: motion to strike
8172,briefing affidavit re: injunction
8173,briefing motion record re: enforcing foreign judgment
8174,analyzing motion record re: motion to strike
8175,editing compendium re: refusals
8176,researching memorandum re: enforcing foreign judgment
8177,reviewing memorandum re: motion to strike
8178,writing memorandum re: injunction
8179,analyzing affidavit re: summary judgment
8180,proofing notice of motion re: motion to strike
8181,drafting motion record re: summary judgment
8182,analyzing motion record re: summary judgment
8183,revising factum re: disqualifying expert
8184,proofing order re: disqualifying expert
8185,writing factum re: refusals
8186,drafting factum re: enforcing foreign judgment
8187,proofing order re: enforcing foreign judgment
8188,researching analysis re: refusals
8189,writing notice of motion re: refusals
8190,editing notice of motion re: injunction
8191,editing memorandum re: enforcing foreign judgment
8192,reviewing analysis re: injunction
8193,preparing compendium re: summary judgment
8194,analyzing motion record re: summary judgment
8195,revising notice of motion re: summary judgment
8196,researching motion record re: refusals
8197,preparing book of authority re: injunction
8198,researching book of authority re: motion to strike
8199,proofing order re: enforcing foreign judgment
8200,reviewing memo re: injunction
8201,writing memorandum re: injunction
8202,briefing compendium re: injunction
8203,editing memorandum re: injunction
8204,analyzing compendium re: enforcing foreign judgment
8205,analyzing analysis re: enforcing foreign judgment
8206,reviewing order re: refusals
8207,researching notice of motion re: enforcing foreign judgment
8208,analyzing memorandum re: enforcing foreign judgment
8209,researching factum re: disqualifying expert
8210,editing compendium re: injunction
8211,revising book of authority re: enforcing foreign judgment
8212,analyzing factum re: enforcing foreign judgment
8213,preparing compendium re: injunction
8214,revising motion record re: summary judgment
8215,briefing memorandum re: disqualifying expert
8216,writing affidavit re: motion to strike
8217,briefing order re: disqualifying expert
8218,reviewing book of authority re: injunction
8219,reviewing memo re: motion to strike
8220,editing analysis re: enforcing foreign judgment
8221,analyzing compendium re: refusals
8222,preparing analysis re: summary judgment
8223,briefing memorandum re: refusals
8224,analyzing analysis re: enforcing foreign judgment
8225,drafting memo re: refusals
8226,revising compendium re: motion to strike
8227,preparing compendium re: motion to strike
8228,analyzing book of authority re: refusals
8229,briefing analysis re: summary judgment
8230,proofing affidavit re: disqualifying expert
8231,revising book of authority re: disqualifying expert
8232,editing compendium re: enforcing foreign judgment
8233,preparing memo re: injunction
8234,preparing factum re: refusals
8235,editing memo re: motion to strike
8236,proofing notice of motion re: disqualifying expert
8237,briefing memo re: disqualifying expert
8238,drafting compendium re: disqualifying expert
8239,writing memo re: injunction
8240,revising book of authority re: motion to strike
8241,researching compendium re: enforcing foreign judgment
8242,proofing affidavit re: enforcing foreign judgment
8243,writing order re: refusals
8244,reviewing notice of motion re: refusals
8245,drafting affidavit re: motion to strike
8246,drafting compendium re: summary judgment
8247,briefing affidavit re: disqualifying expert
8248,analyzing book of authority re: refusals
8249,editing compendium re: disqualifying expert
8250,writing notice of motion re: disqualifying expert
8251,analyzing affidavit re: enforcing foreign judgment
8252,drafting notice of motion re: motion to strike
8253,briefing compendium re: refusals
8254,editing memo re: summary judgment
8255,preparing factum re: disqualifying expert
8256,analyzing factum re: injunction
8257,preparing affidavit re: motion to strike
8258,preparing compendium re: motion to strike
8259,editing book of authority re: injunction
8260,proofing analysis re: summary judgment
8261,writing memorandum re: injunction
8262,reviewing book of authority re: injunction
8263,researching order re: refusals
8264,revising notice of motion re: enforcing foreign judgment
8265,analyzing motion record re: motion to strike
8266,researching affidavit re: injunction
8267,proofing order re: refusals
8268,preparing book of authority re: disqualifying expert
8269,drafting memo re: refusals
8270,drafting analysis re: enforcing foreign judgment
8271,researching memo re: disqualifying expert
8272,researching analysis re: summary judgment
8273,briefing affidavit re: enforcing foreign judgment
8274,writing compendium re: enforcing foreign judgment
8275,analyzing memo re: injunction
8276,drafting notice of motion re: refusals
8277,analyzing notice of motion re: disqualifying expert
8278,analyzing analysis re: motion to strike
8279,reviewing motion record re: summary judgment
8280,revising book of authority re: disqualifying expert
8281,researching compendium re: refusals
8282,editing factum re: disqualifying expert
8283,preparing order re: injunction
8284,writing notice of motion re: motion to strike
8285,reviewing affidavit re: disqualifying expert
8286,writing factum re: injunction
8287,drafting factum re: disqualifying expert
8288,proofing factum re: injunction
8289,drafting order re: refusals
8290,researching motion record re: disqualifying expert
8291,researching notice of motion re: injunction
8292,preparing book of authority re: summary judgment
8293,editing memorandum re: disqualifying expert
8294,drafting book of authority re: refusals
8295,analyzing factum re: injunction
8296,editing notice of motion re: enforcing foreign judgment
8297,reviewing book of authority re: refusals
8298,analyzing book of authority re: summary judgment
8299,drafting memorandum re: summary judgment
8300,revising notice of motion re: enforcing foreign judgment
8301,reviewing memorandum re: enforcing foreign judgment
8302,revising book of authority re: summary judgment
8303,reviewing notice of motion re: motion to strike
8304,writing memorandum re: disqualifying expert
8305,briefing analysis re: disqualifying expert
8306,drafting compendium re: disqualifying expert
8307,analyzing affidavit re: injunction
8308,preparing memo re: summary judgment
8309,analyzing notice of motion re: motion to strike
8310,preparing compendium re: disqualifying expert
8311,reviewing affidavit re: enforcing foreign judgment
8312,briefing order re: summary judgment
8313,drafting memorandum re: enforcing foreign judgment
8314,analyzing memo re: enforcing foreign judgment
8315,writing book of authority re: disqualifying expert
8316,preparing book of authority re: injunction
8317,reviewing notice of motion re: disqualifying expert
8318,reviewing analysis re: disqualifying expert
8319,revising memo re: injunction
8320,drafting motion record re: refusals
8321,editing memorandum re: enforcing foreign judgment
8322,revising book of authority re: motion to strike
8323,analyzing notice of motion re: refusals
8324,preparing motion record re: injunction
8325,revising notice of motion re: disqualifying expert
8326,briefing compendium re: motion to strike
8327,revising analysis re: motion to strike
8328,drafting notice of motion re: injunction
8329,researching analysis re: summary judgment
8330,proofing analysis re: summary judgment
8331,drafting order re: enforcing foreign judgment
8332,writing analysis re: motion to strike
8333,editing factum re: motion to strike
8334,writing compendium re: refusals
8335,researching order re: disqualifying expert
8336,drafting factum re: injunction
8337,researching analysis re: enforcing foreign judgment
8338,drafting memorandum re: enforcing foreign judgment
8339,revising notice of motion re: refusals
8340,revising order re: refusals
8341,preparing factum re: refusals
8342,briefing notice of motion re: summary judgment
8343,reviewing memorandum re: injunction
8344,researching compendium re: summary judgment
8345,proofing affidavit re: motion to strike
8346,preparing affidavit re: refusals
8347,revising affidavit re: motion to strike
8348,revising order re: disqualifying expert
8349,editing factum re: enforcing foreign judgment
8350,writing order re: disqualifying expert
8351,drafting memo re: summary judgment
8352,revising memo re: enforcing foreign judgment
8353,reviewing compendium re: refusals
8354,editing compendium re: disqualifying expert
8355,analyzing notice of motion re: disqualifying expert
8356,revising order re: disqualifying expert
8357,proofing book of authority re: injunction
8358,writing compendium re: injunction
8359,analyzing book of authority re: summary judgment
8360,revising memorandum re: summary judgment
8361,writing affidavit re: refusals
8362,analyzing order re: motion to strike
8363,briefing compendium re: disqualifying expert
8364,preparing affidavit re: disqualifying expert
